4363834.73172 850443.764711 224.4193 45.0
4363834.2273 850448.952879 223.977 38.0
4363834.85069 850457.000528 222.4136 32.0
4363833.5336 850468.983305 223.869 30.0
4363834.02354 850479.276242 223.4849 48.0
4363830.97605 850485.148312 223.9439 21.0
4363832.43716 850497.756361 225.0168 46.0
4363834.7357 850540.567544 222.922 21.0
4363831.22472 850543.613911 222.9511 20.0
4363833.85349 850555.738122 225.0832 29.0
4363839.71673 850436.601346 224.6856 50.0
4363839.5924 850450.063287 222.3881 39.0
4363836.75229 850459.048695 224.0789 61.0
4363839.33235 850465.268859 222.3397 30.0
4363840.42359 850476.311445 223.3017 12.0
4363836.87934 850484.093949 224.1693 37.0
4363835.76001 850495.988014 225.0166 48.0
4363840.2506 850504.911159 227.5898 18.0
4363837.04863 850526.839547 228.0306 7.0
4363839.50272 850540.715589 222.764 24.0
4363840.96948 850550.940486 224.4118 14.0
4363839.57821 850555.166065 224.9668 32.0
4363837.78056 850564.74364 225.4714 26.0
4363844.90083 850436.253454 223.945 54.0
4363843.50493 850449.250194 222.6896 37.0
4363845.68468 850462.3485 223.1732 30.0
4363846.58391 850472.719644 223.2458 39.0
4363843.87372 850474.661963 223.312 14.0
4363844.70492 850491.46612 224.9949 20.0
4363846.4886 850500.053018 226.3583 15.0
4363845.35435 850504.086779 227.3609 3.0
4363845.94131 850521.88061 225.9519 7.0
4363846.58028 850530.76147 222.5934 11.0
4363845.33051 850535.567238 222.7284 22.0
4363845.16295 850545.510757 224.3743 14.0
4363844.41708 850552.408556 224.8832 23.0
4363844.45909 850563.362963 225.0086 63.0
4363848.78943 850428.673224 224.9033 53.0
4363849.07603 850442.847715 223.2825 35.0
4363849.45562 850452.346774 222.2567 23.0
4363847.63866 850460.981372 222.2116 60.0
4363851.53428 850465.095734 222.7062 38.0
4363847.68913 850474.522492 223.4899 33.0
4363849.59641 850488.838976 225.0151 31.0
4363848.83212 850494.621632 225.1394 3.0
4363846.69969 850503.484897 227.1249 3.0
4363851.87005 850518.663503 224.8346 10.0
4363850.44961 850528.939155 222.5366 11.0
4363850.8932 850536.360506 222.5007 18.0
4363851.99701 850543.720017 224.3918 29.0
4363852.0869 850557.587529 224.7896 39.0
4363850.81544 850563.647669 225.0427 24.0
4363852.24066 850591.25078 225.3902 61.0
4363852.20381 850591.331351 225.5175 59.0
4363856.10311 850430.14674 222.3671 54.0
4363853.54522 850444.544826 224.0032 34.0
4363852.5783 850449.756723 222.8468 29.0
4363853.94958 850460.702109 222.2658 33.0
4363855.85839 850465.121012 222.9949 34.0
4363852.63352 850475.646594 223.8533 27.0
4363857.10225 850485.216107 224.9631 31.0
4363853.90533 850494.258509 225.1343 3.0
4363857.49399 850513.196316 224.9216 6.0
4363857.63214 850522.802559 223.4385 11.0
4363853.24838 850532.567862 222.546 33.0
4363854.41983 850533.872148 222.442 15.0
4363855.19311 850543.323914 224.1125 14.0
4363857.00981 850552.750587 224.5165 25.0
4363856.7274 850562.106501 224.9765 59.0
4363852.29256 850590.513015 224.7898 49.0
4363861.18347 850415.39512 223.8224 53.0
4363861.4637 850420.183618 222.4284 63.0
4363860.13904 850427.106151 222.3024 47.0
4363862.73057 850438.763668 222.1477 33.0
4363860.13852 850446.806099 222.3188 30.0
4363863.11647 850456.626578 222.2978 43.0
4363860.02474 850464.549496 223.171 30.0
4363861.61494 850482.496147 224.9991 10.0
4363859.29515 850484.175405 225.0174 16.0
4363863.47868 850503.407814 225.1566 5.0
4363863.43673 850513.182928 224.8537 10.0
4363863.45724 850522.62079 222.6374 5.0
4363859.6065 850524.48548 222.611 11.0
4363859.14842 850535.840484 222.5922 21.0
4363858.24181 850548.878956 224.0775 23.0
4363859.82411 850552.272956 223.9436 30.0
4363862.59235 850563.43938 224.9999 31.0
4363865.49541 850434.913272 222.1243 51.0
4363867.6782 850437.876368 222.126 50.0
4363866.18028 850454.284349 222.135 30.0
4363864.18567 850454.829285 222.2511 30.0
4363865.03773 850464.649728 223.2644 12.0
4363868.71531 850479.747655 224.9251 20.0
4363867.11431 850484.115005 225.0454 2.0
4363868.45621 850503.39366 225.0606 6.0
4363864.71082 850512.646211 224.8384 13.0
4363867.35303 850520.833659 222.5223 11.0
